message_id,participant_id,scenario,condition,run_number,frame,sim_time,robot_id,robot_state,robot_x,robot_y,message_type,message_text,appear_timestamp_iso,clicked,click_timestamp_iso,time_to_click_seconds
robot1-5.13,P20251109010245_084b1f,1,0,5,0,5.127362251281738,robot1,moving,9,10,on_track,"Moving to acquire  package  at Position (X9, Y10) in the  Strong('SW')  quadrant . ",2025-11-09T01:02:49.572645,0,,
robot2-5.13,P20251109010245_084b1f,1,0,5,0,5.127362251281738,robot2,moving,11,10,on_track,"Moving to acquire  package  at Position (X11, Y10) in the  Strong('SE')  quadrant . ",2025-11-09T01:02:49.572875,0,,
robot3-5.13,P20251109010245_084b1f,1,0,5,0,5.127362251281738,robot3,moving,10,10,on_track,"Moving to acquire  package  at Position (X10, Y10) in the  Strong('SW')  quadrant . ",2025-11-09T01:02:49.573004,0,,
robot3-25.13,P20251109010245_084b1f,1,0,5,4,25.12954092025757,robot3,moving,12.548828125,12.409693644261546,on_track,"Moving to acquire  package  at Position (X13, Y12) in the  Strong('NE')  quadrant . ",2025-11-09T01:02:54.640496,0,,
robot1-30.13,P20251109010245_084b1f,1,0,5,5,30.12946343421936,robot1,moving,7.265625,6.090534979423868,on_track,"Moving to acquire  package  at Position (X7, Y6) in the  Strong('SW')  quadrant . ",2025-11-09T01:02:56.714754,0,,
robot2-30.13,P20251109010245_084b1f,1,0,5,5,30.12946343421936,robot2,moving,9.921875,14.10150891632373,on_track,"Moving to acquire  package  at Position (X10, Y14) in the  Strong('NW')  quadrant . ",2025-11-09T01:02:56.714933,0,,
d6-discovered-30.13,P20251109010245_084b1f,1,0,5,5,30.12946343421936,System,N/A,7,5.5,discovery,Package  Strong('d6')  discovered by robot and it is en route to collect it.,2025-11-09T01:02:56.715050,0,,
robot3-32.68,P20251109010245_084b1f,1,0,5,6,32.675299644470215,robot3,moving,14.7265625,15.336076817558297,replan,"Route recalculated.  Current Position is (X15, Y15) in the  Strong('NE')  quadrant . Robot is 19 seconds behind of schedule.",2025-11-09T01:02:58.512384,1,2025-11-09T01:03:00.597000,2.084616184234619
d7-discovered-32.68,P20251109010245_084b1f,1,0,5,6,32.675299644470215,System,N/A,11,16,discovery,Package  Strong('d7')  discovered by robot2.  Assigned to robot3.,2025-11-09T01:02:58.512503,1,2025-11-09T01:02:59.896000,1.3834965229034424
robot2-37.17,P20251109010245_084b1f,1,0,5,10,37.17093300819397,robot2,moving,9,19,on_track,"Moving to acquire  package  at Position (X9, Y19) in the  Strong('NW')  quadrant . ",2025-11-09T01:03:06.042679,0,,
d3-discovered-37.17,P20251109010245_084b1f,1,0,5,10,37.17093300819397,System,N/A,8,19,discovery,Package  Strong('d3')  discovered by robot2.  Assigned to robot3.,2025-11-09T01:03:06.042844,0,,
robot2-40.13,P20251109010245_084b1f,1,0,5,14,40.127612829208374,robot2,carrying,8.8671875,15.418381344307267,on_track,"Transporting  Strong('p5')  to Position (X6, Y14). Currently at Position (X9, Y15) in the  Strong('NW')  quadrant . ",2025-11-09T01:03:11.331876,0,,
robot1-42.67,P20251109010245_084b1f,1,0,5,15,42.67326068878174,robot1,moving,4.951171875,4.572473708276178,on_track,"Moving to acquire  package  at Position (X5, Y5) in the  Strong('SW')  quadrant . ",2025-11-09T01:03:13.503797,0,,
robot2-44.49,P20251109010245_084b1f,1,0,5,17,44.488569498062134,robot2,carrying,6.494140625,14.138088705989942,replan,"Route recalculated.  Carrying  Strong('p5') .  Current Position is (X6, Y14) in the  Strong('NW')  quadrant . Robot is 6 seconds behind of schedule.",2025-11-09T01:03:16.586080,0,,
robot3-51.68,P20251109010245_084b1f,1,0,5,26,51.678486585617065,robot3,moving,13.84765625,15.77503429355281,replan,"Route recalculated.  Current Position is (X14, Y16) in the  Strong('NE')  quadrant . Robot is 29 seconds behind of schedule. Encountering rough terrain.",2025-11-09T01:03:26.459133,0,,
d5-discovered-51.68,P20251109010245_084b1f,1,0,5,26,51.678486585617065,System,N/A,8,1,discovery,Package  Strong('d5')  discovered by robot1.  Assigned to robot3.,2025-11-09T01:03:26.459274,0,,
robot1-55.13,P20251109010245_084b1f,1,0,5,28,55.127979040145874,robot1,moving,9,1,on_track,"Moving to acquire  package  at Position (X9, Y1) in the  Strong('SW')  quadrant . ",2025-11-09T01:03:29.939711,0,,
robot2-56.29,P20251109010245_084b1f,1,0,5,30,56.29098343849182,robot2,moving,6.34765625,13.552812071330589,replan,"Route recalculated.  Current Position is (X6, Y14) in the  Strong('NW')  quadrant . Robot is 4 seconds behind of schedule.",2025-11-09T01:03:33.342492,0,,
