message_id,participant_id,scenario,condition,run_number,frame,sim_time,robot_id,robot_state,robot_x,robot_y,message_type,message_text,appear_timestamp_iso,clicked,click_timestamp_iso,time_to_click_seconds
robot1-7.47,P20251104222930_9fa16e,1,3,1,0,7.472958564758301,robot1,moving,9,10,on_track,"Moving to acquire package at Position (X9, Y10).",2025-11-04T22:29:32.055396,1,2025-11-04T22:29:33.273000,1.2176039218902588
robot2-7.47,P20251104222930_9fa16e,1,3,1,0,7.472958564758301,robot2,moving,11,10,on_track,"Moving to acquire package at Position (X11, Y10).",2025-11-04T22:29:32.056107,1,2025-11-04T22:29:34.802000,2.7458927631378174
robot3-7.47,P20251104222930_9fa16e,1,3,1,0,7.472958564758301,robot3,moving,10,10,on_track,"Moving to acquire package at Position (X10, Y10).",2025-11-04T22:29:32.056584,1,2025-11-04T22:29:34.441000,2.384416103363037
robot1-27.47,P20251104222930_9fa16e,1,3,1,4,27.4727303981781,robot1,moving,9,10,on_track,"Moving to acquire package at Position (X9, Y10).",2025-11-04T22:29:35.715861,1,2025-11-04T22:29:39.775000,4.059139251708984
robot2-27.47,P20251104222930_9fa16e,1,3,1,4,27.4727303981781,robot2,moving,11,10,on_track,"Moving to acquire package at Position (X11, Y10).",2025-11-04T22:29:35.716211,0,,
robot3-27.47,P20251104222930_9fa16e,1,3,1,4,27.4727303981781,robot3,moving,12.548828125,12.409693644261546,on_track,"Moving to acquire package at Position (X13, Y12).",2025-11-04T22:29:35.716434,0,,
robot1-32.47,P20251104222930_9fa16e,1,3,1,5,32.472853660583496,robot1,moving,6.533203125,5.94421582075903,on_track,"Moving to acquire package at Position (X7, Y6).",2025-11-04T22:29:36.721261,0,,
robot2-32.47,P20251104222930_9fa16e,1,3,1,5,32.472853660583496,robot2,moving,9.833984375,14.39414723365341,on_track,"Moving to acquire package at Position (X10, Y14).",2025-11-04T22:29:36.721480,0,,
robot3-32.47,P20251104222930_9fa16e,1,3,1,5,32.472853660583496,robot3,moving,15.869140625,14.87882944673068,on_track,"Moving to acquire package at Position (X16, Y15).",2025-11-04T22:29:36.721638,1,2025-11-04T22:29:38.377000,1.6553623676300049
robot1-34.10,P20251104222930_9fa16e,1,3,1,6,34.103190183639526,robot1,moving,5.654296875,5.28577960676726,on_track,"Moving to acquire package at Position (X6, Y5).",2025-11-04T22:29:37.770224,0,,
robot2-34.10,P20251104222930_9fa16e,1,3,1,6,34.103190183639526,robot2,moving,9.62890625,15.564700502972107,on_track,"Moving to acquire package at Position (X10, Y16).",2025-11-04T22:29:37.770550,1,2025-11-04T22:29:42.364000,4.593449831008911
robot3-34.10,P20251104222930_9fa16e,1,3,1,6,34.103190183639526,robot3,moving,14.7265625,15.336076817558297,replan,"Route recalculated. Current Position (X15, Y15). Robot is 20 seconds behind of schedule.",2025-11-04T22:29:37.770756,0,,
robot2-36.60,P20251104222930_9fa16e,1,3,1,8,36.60157346725464,robot2,moving,9.3359375,17.83264746227709,on_track,"Moving to acquire package at Position (X9, Y18).",2025-11-04T22:29:39.726750,0,,
robot2-37.93,P20251104222930_9fa16e,1,3,1,10,37.927443504333496,robot2,moving,9,19,on_track,"Moving to acquire package at Position (X9, Y19).",2025-11-04T22:29:41.766821,0,,
