message_id,participant_id,scenario,condition,run_number,frame,sim_time,robot_id,robot_state,robot_x,robot_y,message_type,message_text,appear_timestamp_iso,clicked,click_timestamp_iso,time_to_click_seconds,was_closed,time_open_seconds
robot1-7.47,P20251104211030_f59174,1,0,1,0,7.472958564758301,robot1,moving,9,10,on_track,"Moving to acquire package at Position (X9, Y10).",2025-11-04T21:10:33.114667,0,,,0,
robot2-7.47,P20251104211030_f59174,1,0,1,0,7.472958564758301,robot2,moving,11,10,on_track,"Moving to acquire package at Position (X11, Y10).",2025-11-04T21:10:33.114846,1,2025-11-04T21:10:34.843000,1.7281534671783447,0,
robot3-7.47,P20251104211030_f59174,1,0,1,0,7.472958564758301,robot3,moving,10,10,on_track,"Moving to acquire package at Position (X10, Y10).",2025-11-04T21:10:33.114958,1,2025-11-04T21:10:33.993000,0.8780419826507568,0,
robot1-27.47,P20251104211030_f59174,1,0,1,4,27.4727303981781,robot1,moving,9,10,on_track,"Moving to acquire package at Position (X9, Y10).",2025-11-04T21:10:38.812091,1,2025-11-04T21:10:42.682000,3.8699092864990234,0,
robot2-27.47,P20251104211030_f59174,1,0,1,4,27.4727303981781,robot2,moving,11,10,on_track,"Moving to acquire package at Position (X11, Y10).",2025-11-04T21:10:38.812521,0,,,0,
robot3-27.47,P20251104211030_f59174,1,0,1,4,27.4727303981781,robot3,moving,12.548828125,12.409693644261546,on_track,"Moving to acquire package at Position (X13, Y12).",2025-11-04T21:10:38.812886,1,2025-11-04T21:10:40.431000,1.6181139945983887,0,
robot1-32.47,P20251104211030_f59174,1,0,1,5,32.472853660583496,robot1,moving,6.533203125,5.94421582075903,on_track,"Moving to acquire package at Position (X7, Y6).",2025-11-04T21:10:41.086172,1,2025-11-04T21:10:41.331000,0.244828462600708,0,
robot2-32.47,P20251104211030_f59174,1,0,1,5,32.472853660583496,robot2,moving,9.833984375,14.39414723365341,on_track,"Moving to acquire package at Position (X10, Y14).",2025-11-04T21:10:41.086552,1,2025-11-04T21:10:42.065000,0.978447675704956,0,
robot3-34.10,P20251104211030_f59174,1,0,1,6,34.103190183639526,robot3,moving,14.7265625,15.336076817558297,replan,"Route recalculated. Current Position (X15, Y15). Robot is 20 seconds behind of schedule.",2025-11-04T21:10:43.102489,1,2025-11-04T21:10:44.691000,1.5885112285614014,0,
robot2-36.60,P20251104211030_f59174,1,0,1,8,36.60157346725464,robot2,moving,9.3359375,17.83264746227709,on_track,"Moving to acquire package at Position (X9, Y18).",2025-11-04T21:10:46.511001,1,2025-11-04T21:10:47.405000,0.8939990997314453,0,
